frame,ssim,mse,text,trans
379,99.88,2.890332128064836e-06,,
380,99.99,1.445166064032418e-06,,
381,99.99,0.0,,
382,99.98,1.445166064032418e-06,,
383,99.99,0.0,,
384,99.99,0.0,,
385,100.0,0.0,,
386,99.99,0.0,,
387,99.99,1.445166064032418e-06,,
388,99.82,2.890332128064836e-06,,
389,99.99,0.0,,
390,99.9,1.445166064032418e-06,,
391,99.16,1.3006494576291761e-05,,
392,99.8,4.335498192097253e-06,,
393,99.95,1.445166064032418e-06,,
394,99.99,0.0,,
395,99.95,1.445166064032418e-06,,
396,99.99,1.445166064032418e-06,,
397,99.92,1.445166064032418e-06,,
398,100.0,0.0,,
399,99.99,0.0,,
400,99.97,1.445166064032418e-06,,
401,100.0,0.0,,
402,99.99,1.445166064032418e-06,,
403,100.0,0.0,,
404,100.0,0.0,,
405,100.0,0.0,,
406,99.96,2.890332128064836e-06,,
407,99.93,2.890332128064836e-06,,
408,99.69,4.335498192097253e-06,,
409,82.74,0.00021822007566889512,,
410,98.43,3.468398553677803e-05,,
411,99.82,5.780664256129672e-06,,
412,91.01,0.00010549712267436651,,
413,98.81,1.8787158832421433e-05,,
414,99.72,5.780664256129672e-06,,
415,99.48,1.1561328512259344e-05,,
416,99.76,5.780664256129672e-06,,
417,99.78,5.780664256129672e-06,,
418,98.6,2.1677490960486268e-05,,
419,99.64,7.22583032016209e-06,,
420,99.74,5.780664256129672e-06,,
421,97.91,3.1793653408713196e-05,,
422,99.7,7.22583032016209e-06,,
423,99.84,4.335498192097253e-06,,
424,99.5,1.0116162448226928e-05,,
425,99.88,4.335498192097253e-06,,
426,99.96,2.890332128064836e-06,,
427,99.18,1.445166064032418e-05,,
428,99.69,5.780664256129672e-06,,
429,99.78,5.780664256129672e-06,,
430,99.22,1.445166064032418e-05,,
431,99.86,4.335498192097253e-06,,
432,99.54,1.0116162448226928e-05,,
433,99.47,1.0116162448226928e-05,,
434,99.71,5.780664256129672e-06,,
435,99.89,4.335498192097253e-06,,
436,99.04,1.445166064032418e-05,,
437,99.93,2.890332128064836e-06,,
438,99.84,2.890332128064836e-06,,
439,99.46,1.0116162448226928e-05,,
440,99.96,1.445166064032418e-06,,
441,99.99,1.445166064032418e-06,,
442,99.85,4.335498192097253e-06,,
443,99.93,2.890332128064836e-06,,
444,99.96,2.890332128064836e-06,,
445,99.9,2.890332128064836e-06,,
446,99.97,1.445166064032418e-06,,
